"patchX [cm]","patchY [cm]","Phi [deg]","Freq [GHz]","max(dB(GainTotal)) []"
0.5,1.6,0,10,-1.67662078517814
0.5,1.6,0,11.5,5.93037771151058
0.5,1.6,0,13,6.30542454066543
0.5,1.6,0,14.5,6.9068534210565
0.5,1.6,0,16,5.94313061052238
0.5,1.6,0,19,3.02070437937471
0.5,1.6,0,20.5,-0.0123407638963051
0.5,1.6,0,22,0.711952499470609
0.5,1.6,0,23.5,2.24808316728798
0.5,1.6,0,25,2.95956033880932
0.5,1.7,0,1,-27.3552468720945
0.5,1.7,0,1.75,-19.921944109541
0.5,1.7,0,2.5,-15.0037865570929
0.5,1.7,0,4,-7.59803804353501
0.5,1.7,0,7,0.747639124821428
0.5,1.7,0,8.5,-4.22132783144697
0.5,1.7,0,9.25,-8.77068972870416
0.5,1.7,0,10,2.37790963840328
0.5,1.7,0,11.5,6.12650988577242
0.5,1.7,0,12.25,6.25381422107322
0.5,1.7,0,13,6.45151417702625
0.5,1.7,0,14.5,6.92798089799439
0.5,1.7,0,16,5.29154325995605
0.5,1.7,0,17.5,2.61222931883039
0.5,1.7,0,19,2.63330759471588
0.5,1.7,0,20.5,-0.868883716753817
0.5,1.7,0,22,1.33235988672285
0.5,1.7,0,23.5,1.84990632793257
0.5,1.7,0,25,4.6530658333744
0.5,1.8,0,1,-27.0885507214102
0.5,1.8,0,4,-7.53155485863824
0.5,1.8,0,4.75,-3.69250918733892
0.5,1.8,0,5.5,-0.806065056381288
0.5,1.8,0,7,-0.0598107587027888
0.5,1.8,0,8.5,-10.7991904506313
0.5,1.8,0,9.25,-2.46323043396531
0.5,1.8,0,10,3.8315597042852
0.5,1.8,0,13,6.49261538325963
0.5,1.8,0,14.5,6.76652088868688
0.5,1.8,0,15.25,6.0243894511703
0.5,1.8,0,16,3.67388534237969
0.5,1.8,0,19,1.33073080711813
0.5,1.8,0,20.5,-1.45809220095658
0.5,1.8,0,22,2.10463850281348
0.5,1.8,0,23.5,0.988488061942041
0.5,1.8,0,24.25,3.03158906153977
0.5,1.8,0,25,6.1720026453434
0.5,1.9,0,1,-26.7801527088174
0.5,1.9,0,1.75,-19.3637683350413
0.5,1.9,0,2.5,-14.4930941639019
0.5,1.9,0,4,-7.46022264731307
0.5,1.9,0,7,-0.897174043442302
0.5,1.9,0,8.5,-13.1250174695989
0.5,1.9,0,9.25,0.478271296493161
0.5,1.9,0,10,4.52785312439443
0.5,1.9,0,11.5,6.28523510733143
0.5,1.9,0,12.25,6.38919442808697
0.5,1.9,0,13,6.55388566220502
0.5,1.9,0,13.75,6.77147195537101
0.5,1.9,0,14.5,6.54923541414345
0.5,1.9,0,15.25,5.32919435745929
0.5,1.9,0,16,1.344040029943
0.5,1.9,0,16.75,2.6545326475595
0.5,1.9,0,17.5,3.08610784708784
0.5,1.9,0,18.25,2.23583363718072
0.5,1.9,0,19,1.11799970430178
0.5,1.9,0,20.5,-1.41669684851698
0.5,1.9,0,22,2.57252528702395
0.5,1.9,0,23.5,1.06137320806508
0.5,1.9,0,24.25,4.95639689879508
0.5,1.9,0,25,6.85579195157463
0.5,1.91,0,1,-26.7539969372775
0.5,1.91,0,1.75,-19.3340527361374
0.5,1.91,0,2.5,-14.4705511249499
0.5,1.91,0,4,-7.44366671222083
0.5,1.91,0,7,-0.915646672551176
0.5,1.91,0,13,6.53546899931919
0.5,1.91,0,25,6.50826971880026
0.6,0.5,0,1,-31.408469654325
0.6,0.5,0,4,-10.088322317704
0.6,0.5,0,5.5,-0.868050591938318
0.6,0.5,0,7,2.89762073059603
0.6,0.5,0,10,5.33332881752534
0.6,0.5,0,11.5,5.74773180969664
0.6,0.5,0,13,5.73588308661335
0.6,0.5,0,16,5.20580243713292
0.6,0.5,0,19,4.37920257124289
0.6,0.5,0,20.5,1.98374167903712
0.6,0.5,0,22,0.0757984443340637
0.6,0.5,0,25,0.999771954729357
0.6,0.6,0,1,-30.8150576171506
0.6,0.6,0,4,-9.58853997364466
0.6,0.6,0,7,3.10140098354739
0.6,0.6,0,8.5,4.39966708901988
0.6,0.6,0,10,5.37688711389105
0.6,0.6,0,11.5,5.83604853629345
0.6,0.6,0,13,5.72041268479514
0.6,0.6,0,13.75,6.01268265032989
0.6,0.6,0,14.5,6.06760349428007
0.6,0.6,0,16,4.0082648987825
0.6,0.6,0,17.5,2.66489621318585
0.6,0.6,0,19,3.19620840993023
0.6,0.6,0,20.5,3.39708265706013
0.6,0.6,0,21.25,2.37683670028421
0.6,0.6,0,22,1.06200984406128
0.6,0.6,0,22.75,0.602699144830565
0.6,0.6,0,23.5,0.789010948867455
0.6,0.6,0,25,1.52149314862632
0.6,0.7,0,1,-30.2284318328507
0.6,0.7,0,2.5,-17.6175188365546
0.6,0.7,0,4,-9.07790084799447
0.6,0.7,0,7,3.25014924452923
0.6,0.7,0,10,5.50731018548644
0.6,0.7,0,11.5,5.96721868567921
0.6,0.7,0,13,5.62844344526346
0.6,0.7,0,14.5,5.25914535460215
0.6,0.7,0,15.25,3.72016579566653
0.6,0.7,0,16,1.49292490875079
0.6,0.7,0,17.5,1.56822427565489
0.6,0.7,0,19,3.78722191075183
0.6,0.7,0,22,2.79889632834136
0.6,0.7,0,23.5,1.65452413817825
0.6,0.7,0,25,4.8149985953663
0.6,0.8,0,1,-29.7305565404296
0.6,0.8,0,2.5,-17.1479508501888
0.6,0.8,0,4,-8.64945623019682
0.6,0.8,0,7,3.34673217580365
