"patchX [cm]","patchY [cm]","Freq [GHz]","dB(St11) []"
0.5,0.8,7.3030303030303,-0.420884125308702
0.5,0.8,7.54545454545455,-0.465100936431405
0.5,0.8,7.78787878787879,-0.513338633469659
0.5,0.8,8.03030303030303,-0.565617855294281
0.5,0.8,8.27272727272727,-0.622081092004127
0.5,0.8,8.51515151515152,-0.683058338056678
0.5,0.8,8.75757575757576,-0.749147149368325
0.5,0.8,9,-0.821308714662767
0.5,0.8,9.24242424242424,-0.90098079901778
0.5,0.8,9.48484848484848,-0.990207025817519
0.5,0.8,9.72727272727273,-1.09178088182161
0.5,0.8,9.96969696969697,-1.20940804817122
0.5,0.8,10.2121212121212,-1.34792825331592
0.5,0.8,10.4545454545455,-1.51380272943194
0.5,0.8,10.6969696969697,-1.71661503603508
0.5,0.8,10.9393939393939,-1.97321123505566
0.5,0.8,11.1818181818182,-2.31307204364258
0.5,0.8,11.4242424242424,-2.76907434319537
0.5,0.8,11.6666666666667,-3.3536372096184
0.5,0.8,11.9090909090909,-4.0704624320788
0.5,0.8,12.1515151515152,-4.94034107327833
0.5,0.8,12.3939393939394,-6.00129441254732
0.5,0.8,12.6363636363636,-7.30524282658223
0.5,0.8,12.8787878787879,-8.92261739454327
0.5,0.8,13.1212121212121,-10.9480654930213
0.5,0.8,13.3636363636364,-13.4660484461322
0.5,0.8,13.6060606060606,-16.2118595699865
0.5,0.8,13.8484848484848,-17.3157337527085
0.5,0.8,14.0909090909091,-15.2583677209445
0.5,0.8,14.3333333333333,-12.420270691443
0.5,0.8,14.5757575757576,-10.0922698547234
0.5,0.8,14.8181818181818,-8.40703172100634
0.5,0.8,15.0606060606061,-7.31528248996981
0.5,0.8,15.3030303030303,-6.7426299771702
0.5,0.8,15.5454545454545,-6.58763404227465
0.5,0.8,15.7878787878788,-6.72842262259531
0.5,0.8,16.030303030303,-7.04766702912408
0.5,0.8,16.2727272727273,-7.45621255324917
0.5,0.8,16.5151515151515,-7.90549776532195
0.5,0.8,16.7575757575758,-8.38935612479883
0.5,0.8,17,-8.93718835094798
0.5,0.8,17.2424242424242,-9.6006884755935
0.5,0.8,17.4848484848485,-10.438644617739
0.5,0.8,17.7272727272727,-11.5053384273085
0.5,0.8,17.969696969697,-12.8440931988729
0.5,0.8,18.2121212121212,-14.4761631593639
0.5,0.8,18.4545454545455,-16.3468398376179
0.5,0.8,18.6969696969697,-18.1300693802784
0.5,0.8,18.9393939393939,-18.9424318042594
0.5,0.8,19.1818181818182,-18.0816550685935
0.5,0.8,19.4242424242424,-16.2339894653658
0.5,0.8,19.6666666666667,-14.2801324683967
0.5,0.8,19.9090909090909,-12.5432643466659
0.5,0.8,20.1515151515152,-11.0752560653283
0.5,0.8,20.3939393939394,-9.85790168545041
0.5,0.8,20.6363636363636,-8.86175943112913
0.5,0.8,20.8787878787879,-8.05840944397093
0.5,0.8,21.1212121212121,-7.42131197894483
0.5,0.8,21.3636363636364,-6.92486786468147
0.5,0.8,21.6060606060606,-6.54396796579837
0.5,0.8,21.8484848484848,-6.25422957763357
0.5,0.8,22.0909090909091,-6.0325727048871
0.5,0.8,22.3333333333333,-5.85780761090613
0.5,0.8,22.5757575757576,-5.71114905858392
0.5,0.8,22.8181818181818,-5.57692856684549
0.5,0.8,23.0606060606061,-5.44433258405155
0.5,0.8,23.3030303030303,-5.31207174182753
0.5,0.8,23.5454545454545,-5.19977636823603
0.5,0.8,23.7878787878788,-5.17044222380819
0.5,0.8,24.030303030303,-5.35263552127709
0.5,0.8,24.2727272727273,-5.89152796510376
0.5,0.8,24.5151515151515,-6.75795661631393
0.5,0.8,24.7575757575758,-7.6638244815206
0.5,0.8,25,-8.33569651520941
0.5,0.9,1,-0.137676894606285
0.5,0.9,1.24242424242424,-0.152258275973426
0.5,0.9,1.48484848484849,-0.166510279633572
0.5,0.9,1.72727272727273,-0.179428629483666
0.5,0.9,1.96969696969697,-0.190280524109956
0.5,0.9,2.21212121212121,-0.198608422570887
0.5,0.9,2.45454545454545,-0.204213270316148
0.5,0.9,2.6969696969697,-0.207128234879774
0.5,0.9,2.93939393939394,-0.207589387911917
0.5,0.9,3.18181818181818,-0.206005917667379
0.5,0.9,3.42424242424242,-0.202929890178967
0.5,0.9,3.66666666666667,-0.199024339796296
0.5,0.9,3.90909090909091,-0.19502829192712
0.5,0.9,4.15151515151515,-0.191717866975204
0.5,0.9,4.39393939393939,-0.189863601763628
0.5,0.9,4.63636363636364,-0.190185334746655
